anth,anthropology
artcs,
arthi,art history
artst,
asam,asian american studies
astro,
blst,black studies
bmse,
che,
chem,chemistry
chemw,
chin,chinese
chst,
class,
clit,
cmpsc,computer science
cncsp,
comm,
dance,
earth,
ece,electrical computer engineering
econ,economics
ed,
ede,
edhss,
edm,
eds,
edwl,
eemb,
engl,english
engr,
envs,
esm,
femst,
flmst,
fr,
geog,geography
geogw,
ger,
globl,
hist,
int,
ital,
japan,
lais,
latin,
ling,
litcs,
marsc,
mat,
math,
matrl,
mcdb,
mcdbw,
me,
mus,
phil,
phys,
pols,
port,
pstat,
pstatw,
psy,
rgst,
shs,
soc,
span,
thtr,theater
writ,
