"courseTitle","fullTitle","description","preReq","college","units","grading","primaryTitle","status","enrollCode","levelLimit","majorLimitPass","majorLimit","messages","instructor","days","time","location","enrolled"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional","INTRO CULT ANTHRO","Closed",,,,,,"WHITTLE M D","M W F","12:00pm - 12:50pm","IV   THEA1","326 / 364"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,,"00026",,,,,"VOGT L N","R","9:00am - 9:50am","GIRV 2112","25 / 28"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,,"00034",,,,,"AKMENKALNS J","R","8:00am - 8:50am","PHELP1420","22 / 28"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,,"00042",,,,,"HALL L F","M","6:00pm - 6:50pm","PHELP1444","24 / 28"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,,"00059",,,,,"VOGT L N","M","4:00pm - 4:50pm","PHELP1448","25 / 28"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,,"00067",,,,,"HALL L F","T","5:00pm - 5:50pm","PHELP1445","25 / 28"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,,"00075",,,,,"VOGT L N","T","8:00am - 8:50am","PHELP1420","22 / 28"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,,"00083",,,,,"WEIGLER E A","T","9:00am - 9:50am","GIRV 2112","23 / 28"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,,"00091",,,,,"LAMON S E","R","6:00pm - 6:50pm","PHELP3523","24 / 28"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,,"00109",,,,,"WEIGLER E A","W","8:00am - 8:50am","387  103","26 / 28"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,"Full","00117",,,,,"AKMENKALNS J","W","4:00pm - 4:50pm","GIRV 2123","28 / 28"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,"Full","52902",,,,,"AKMENKALNS J","W","3:00pm - 3:50pm","PHELP1425","30 / 28"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,,"52910",,,,,"HALL L F","M","4:00pm - 4:50pm","PHELP1420","26 / 28"
"ANTH 2","Introductory Cultural Anthropology","The nature of culture: survey of the range of cultural phenomena, including material culture, social organization, religion, and other topics.",,"L&S","4.0","Optional",,,"52928",,,,,"LAMON S E","F","2:00pm - 2:50pm","NH   1111","26 / 28"
"ANTH 5","Introductory Physical Anthropology","Human evolution: evolutionary theory, basic genetical concepts, primate evolution and behavior, fossil man, evolution of human behavior and mind.",,"L&S","4.0","Optional","INTRO PHYSICAL ANTH",,,,,,,"GAULIN S J","M W","11:00am - 12:15pm","MUSICLLCH","311 / 364"
"ANTH 5","Introductory Physical Anthropology","Human evolution: evolutionary theory, basic genetical concepts, primate evolution and behavior, fossil man, evolution of human behavior and mind.",,"L&S","4.0","Optional",,,"52944",,,,,"FRIBERG C M","M","5:00pm - 5:50pm","TD-W 2600","20 / 28"
"ANTH 5","Introductory Physical Anthropology","Human evolution: evolutionary theory, basic genetical concepts, primate evolution and behavior, fossil man, evolution of human behavior and mind.",,"L&S","4.0","Optional",,,"52951",,,,,"HODGES C R","M","1:00pm - 1:50pm","PHELP3519","27 / 28"
