"Anthropology","ANTH"
"Creative Studies: Art","ART  CS"
"Art History","ARTHI"
"Art Studio","ARTST"
"Asian American Studies","AS AM"
"Astronomy","ASTRO"
"Creative Studies: Biology","BIOL CS"
"Black Studies","BL ST"
"Biomolecular Science and Engineering","BMSE"
"Comparative Literature","C LIT"
"Chemical Engineering","CH E"
"Chicano Studies","CH ST"
"Chemistry and Biochemistry","CHEM"
"Creative Studies: Chemistry","CHEM CS"
"Chemistry and Biochemistry (Online)","CHEM W"
"Chinese","CHIN"
"Classics","CLASS"
"Computer Science","CMPSC"
"Creative Studies: Computer Science","CMPSCCS"
"Counseling, Clinical, School Psychology","CNCSP"
"Communication","COMM"
"Dance","DANCE"
"East Asian Cultural Studies","EACS"
"Earth Science","EARTH"
"Electrical Computer Engineering","ECE"
"Economics","ECON"
"Education","ED"
"Education: Art","ED   A"
"Education: English","ED   E"
"Education: History &amp; Social Science","ED   HSS"
"Education: Literacy","ED   L"
"Education: Language Arts","ED   LA"
"Education: Math","ED   M"
"Education: Science","ED   S"
"Education: World Language","ED   WL"
"Ecology, Evolution &amp; Marine Biology","EEMB"
"English","ENGL"
"Engineering Sciences","ENGR"
"Environmental Studies","ENV S"
"Exercise Sport","ES   1-"
"Environmental Science &amp; Management","ESM"
"Exercise &amp; Sport Studies","ESS"
"Feminist Studies","FEMST"
"Film Studies","FLMST"
"French","FR"
"Creative Studies: General Studies","GEN SCS"
"Geography","GEOG"
"Geography (Online)","GEOG W"
"German","GER"
"Global Studies","GLOBL"
"Global Peace and Security","GPS"
"Greek","GREEK"
"Hebrew","HEB"
"History","HIST"
"Interdisciplinary","INT"
"Creative Stds: Interdisciplinary Studies","INT  CS"
"Italian","ITAL"
"Japanese","JAPAN"
"Korean","KOR"
"Latin American and Iberian Studies","LAIS"
"Latin","LATIN"
"Linguistics","LING"
"Creative Studies: Literature","LIT  CS"
"Marine Science","MARSC"
"Media Arts and Technology","MAT"
"Mathematics","MATH"
"Creative Studies: Mathematics","MATH CS"
"Materials","MATRL"
"Molecular, Cellular &amp; Develop. Biology","MCDB"
"Molecular,Cellular,Develop. Bio (Online)","MCDB W"
"Mechanical Engineering","ME"
"Medieval Studies","ME ST"
"Middle East Studies","MES"
"Military Science","MS"
"Music","MUS"
"Creative Studies: Music","MUS  CS"
"Music Performance Laboratories","MUS A"
"Physical Activities","PA   1-"
"Philosophy","PHIL"
"Physics","PHYS"
"Creative Studies: Physics","PHYS CS"
"Political Science","POL S"
"Portuguese","PORT"
"Statistics &amp; Applied Probability","PSTAT"
"Stats &amp; Applied Probability (Online)","PSTATW"
"Psychology","PSY"
"Renaissance Studies","RENST"
"Religious Studies","RG ST"
"Speech &amp; Hearing Sciences","SHS"
"Slavic","SLAV"
"Sociology","SOC"
"Spanish","SPAN"
"Theater","THTR"
"Writing","WRIT"
